fecha,ventas
2023-01-01,47
2023-01-02,55
2023-01-03,42
2023-01-04,52
2023-01-05,58
2023-01-06,43
2023-01-07,46
2023-01-08,49
2023-01-09,52
2023-01-10,45
2023-01-11,49
2023-01-12,43
2023-01-13,52
2023-01-14,52
2023-01-15,46
2023-01-16,54
2023-01-17,40
2023-01-18,45
2023-01-19,46
2023-01-20,51
2023-01-21,64
2023-01-22,52
2023-01-23,38
2023-01-24,33
2023-01-25,48
2023-01-26,58
2023-01-27,45
2023-01-28,41
2023-01-29,56
2023-01-30,54
2023-01-31,56
2023-02-01,47
2023-02-02,59
2023-02-03,46
2023-02-04,46
2023-02-05,55
2023-02-06,60
2023-02-07,40
2023-02-08,56
2023-02-09,56
2023-02-10,50
2023-02-11,46
2023-02-12,61
2023-02-13,48
2023-02-14,44
2023-02-15,45
2023-02-16,63
2023-02-17,53
2023-02-18,57
2023-02-19,60
2023-02-20,46
2023-02-21,44
2023-02-22,48
2023-02-23,40
2023-02-24,65
2023-02-25,50
2023-02-26,69
2023-02-27,50
2023-02-28,45
2023-03-01,52
2023-03-02,34
2023-03-03,61
2023-03-04,41
2023-03-05,54
2023-03-06,44
2023-03-07,47
2023-03-08,53
2023-03-09,39
2023-03-10,46
2023-03-11,54
2023-03-12,50
2023-03-13,53
2023-03-14,54
2023-03-15,64
2023-03-16,47
2023-03-17,45
2023-03-18,57
2023-03-19,51
2023-03-20,39
2023-03-21,61
2023-03-22,47
2023-03-23,60
2023-03-24,53
2023-03-25,52
2023-03-26,39
2023-03-27,51
2023-03-28,53
2023-03-29,55
2023-03-30,46
2023-03-31,53
2023-04-01,53
2023-04-02,39
2023-04-03,45
2023-04-04,60
2023-04-05,57
2023-04-06,52
2023-04-07,43
2023-04-08,45
2023-04-09,53
2023-04-10,62
2023-04-11,48
2023-04-12,45
2023-04-13,58
2023-04-14,42
2023-04-15,64
2023-04-16,51
2023-04-17,41
2023-04-18,60
2023-04-19,54
2023-04-20,47
2023-04-21,57
2023-04-22,50
2023-04-23,57
2023-04-24,54
2023-04-25,60
2023-04-26,47
2023-04-27,52
2023-04-28,49
2023-04-29,45
2023-04-30,29
2023-05-01,57
2023-05-02,41
2023-05-03,56
2023-05-04,53
2023-05-05,34
2023-05-06,51
2023-05-07,50
2023-05-08,57
2023-05-09,49
2023-05-10,58
2023-05-11,48
2023-05-12,42
2023-05-13,51
2023-05-14,53
